Top pages,Clicks,Impressions,CTR,Position
https://www.511tactical.com/mens/shop-all.html,1161,737510,0.16%,1.56
https://www.511tactical.com/mens/bags-packs/backpacks.html,174,50474,0.34%,7.65
https://www.511tactical.com/mens/mens-training.html,180,47302,0.38%,54.7
https://www.511tactical.com/mens/bags-packs.html,219,55805,0.39%,12.62
https://www.511tactical.com/mens/mens-shirts/button-ups.html,726,158246,0.46%,63.69
https://www.511tactical.com/mens/footwear.html,424,62280,0.68%,6.5
https://www.511tactical.com/mens/footwear/boots.html,695,100472,0.69%,26.37
https://www.511tactical.com/mens/mens-pants/mens-chino-pants.html,343,36557,0.94%,62.0
https://www.511tactical.com/mens/mens-pants/mens-cargo-pants.html,2354,236771,0.99%,48.25
https://www.511tactical.com/mens/mens-outerwear/base-layers.html,299,29155,1.03%,65.03
https://www.511tactical.com/mens/mens-shorts.html,992,93875,1.06%,50.04
https://www.511tactical.com/mens/big-tall-clothing/pants.html,167,15166,1.1%,48.15
https://www.511tactical.com/mens/mens-pants.html,26316,2308354,1.14%,10.7
https://www.511tactical.com/mens/footwear/shoes.html,223,18413,1.21%,10.67
https://www.511tactical.com/mens/mens-plate-carriers-vests.html,3018,250174,1.21%,38.42
https://www.511tactical.com/mens/mens-pants/mens-tactical-pants.html,2471,200787,1.23%,8.12
https://www.511tactical.com/mens/mens-outerwear/jackets-parkas.html,1469,97166,1.51%,31.91
https://www.511tactical.com/mens/mens-shirts/mens-t-shirts.html,1113,69520,1.6%,46.18
https://www.511tactical.com/mens/mens-shirts/mens-polo-shirts.html,1244,56758,2.19%,52.95
https://www.511tactical.com/mens/mens-shirts.html,2214,96492,2.29%,32.02
https://www.511tactical.com/mens/mens-outerwear/mens-high-visibility-jackets.html,359,12832,2.8%,51.33
https://www.511tactical.com/mens/mens-outerwear/mens-hoodies.html,2559,86605,2.95%,38.14
https://www.511tactical.com/mens/mens-shirts/mens-concealed-carry-shirts.html,1044,27965,3.73%,14.12
https://www.511tactical.com/mens/mens-outerwear.html,7811,209623,3.73%,30.15
https://www.511tactical.com/mens/mens-outerwear/mens-concealed-carry-jackets.html,1444,38727,3.73%,12.13
https://www.511tactical.com/mens/mens-shirts/mens-tdu-shirts.html,117,2264,5.17%,7.51
https://www.511tactical.com/mens/mens-pants/mens-jeans.html,2262,41363,5.47%,21.53
https://www.511tactical.com/womens/womens-pants/womens-cargo-pants.html,182,70337,0.26%,44.3
https://www.511tactical.com/womens/womens-shorts.html,112,20868,0.54%,59.83
https://www.511tactical.com/womens/womens-shirts.html,163,21553,0.76%,51.77
https://www.511tactical.com/womens/womens-outerwear.html,402,44613,0.9%,8.92
https://www.511tactical.com/womens/plus-size-clothing/pants.html,119,11550,1.03%,53.97
https://www.511tactical.com/womens/womens-pants/womens-tactical-pants.html,332,30785,1.08%,15.62
https://www.511tactical.com/womens/footwear.html,860,63918,1.35%,17.29
https://www.511tactical.com/womens/womens-pants.html,2829,202415,1.4%,27.26
https://www.511tactical.com/womens/bags-and-packs.html,211,14016,1.51%,28.25
https://www.511tactical.com/womens/womens-pants/womens-leggings.html,508,15123,3.36%,36.31
